Path,Distance,Time[ms],Size,JedenDodatkowyNieWiemCzemu
"[0, 1, 2, 3, 4, 5, 0]",132,1.14024718,6,
"[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]",212,14.003418380000001,10,
"[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0]",264,43.14343098,12,
"[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]",269,89.33102114,13,
"[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]",282,321.3349018,14,
"[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0]",291,983.6809672999999,15,
"[0, 7, 16, 9, 13, 8, 14, 2, 12, 4, 1, 11, 3, 15, 10, 5, 6, 0]",137,4211.36604882,17,
"[0, 7, 1, 14, 5, 10, 11, 9, 13, 4, 3, 15, 16, 12, 2, 8, 17, 6, 0]",149,11674.954403459999,18,
"[0, 2, 7, 16, 17, 9, 18, 11, 8, 5, 4, 3, 15, 14, 13, 6, 10, 1, 12, 0]",175,95341.3852443,19,
"[0, 7, 17, 12, 16, 11, 18, 19, 13, 3, 15, 1, 8, 14, 4, 2, 5, 9, 10, 6, 0]",160,19067.2701833,20,
