Path,Distance,Time[ms],Size,JedenDodatkowyNieWiemCzemu
"[0, 1, 0]",111,0.08472763999999999,2,
"[0, 1, 2, 0]",170,0.13610054000000002,3,
"[0, 1, 2, 3, 0]",198,0.3018329,4,
"[0, 2, 4, 3, 1, 0]",262,0.32076798,5,
"[0, 1, 2, 3, 4, 5, 0]",132,0.63559642,6,
"[0, 6, 1, 2, 5, 3, 4, 0]",230,0.50593502,7,
"[0, 5, 4, 1, 3, 7, 6, 2, 0]",219,1.53643292,8,
"[0, 1, 2, 0]",170,0.02436218,3,
"[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]",212,14.05616522,10,
"[0, 2, 6, 4, 1, 5, 8, 3, 9, 7, 10, 0]",253,37.56426924,11,
"[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0]",264,43.32695416,12,
"[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]",269,88.31603138,13,
